Transaction Date,Settlement date,Transaction Type,Transaction Volume,Issuer,Security Description,Security ID,Transaction Price,"Accrued interest (in dollars, USD)",Total Amount Transferred,Trader_ID,Source File,Announcement Date,Event Type,Sentiment,Market Impact,Rolling_Volume_Mean,Rolling_Volume_STD,Rolling_Price_Mean,Rolling_Price_STD,Impact_Score,Trade_Before_Announcement,Volume_Anomaly,Price_Anomaly,Repeated_Large_Trades,Cluster_Anomaly,Pre_Announcement_Trade,Final_Anomaly,Anomaly_Explanation,ML_Anomaly
2020-02-06,Feb 07 2020,Purchase,1576,TSY,IIB 01.000 02/15/48 ,912810SB5,115.984375,7860293.07,1914.08186835,"BofA Securities, Inc.",tsy_data_2020_q1.xlsx,,,,,177.6,310.73345934839494,100.08198958333332,3.030321772819162,,0,1,1,0,0,0,1,"Unusual trading volume, Unusual price movement",1
2020-02-10,Feb 11 2020,Purchase,1490,TSY,TB 03.375 11/15/48  ,912810SE9,129.515625,12157417.5,1941.94023,"BofA Securities, Inc.",tsy_data_2020_q1.xlsx,,,,,196.76666666666668,395.3590845638005,104.83254166666667,10.623416045993821,,0,1,0,0,0,0,1,Unusual trading volume,1
2020-03-03,Mar 04 2020,Purchase,419,TSY,TB 04.375 05/15/41  ,912810QQ4,153.6875,5539663.44,649.4902884400001,"BofA Securities, Inc.",tsy_data_2020_q1.xlsx,,,,,109.1,145.04228872036333,118.7645859375,22.081684991648494,,0,0,0,0,1,0,1,Clustered transactions by multiple entities,1
2020-03-04,Mar 05 2020,Purchase,1523,TSY,B 02/25/21          ,912796XE4,99.4446484375,0.0,1514.54227323,"BofA Securities, Inc.",tsy_data_2020_q1.xlsx,,,,,134.23333333333332,285.8774373667887,113.40180598958334,19.911878102595825,,0,1,0,0,0,0,1,Unusual trading volume,1
2020-03-04,Mar 05 2020,Purchase,826,TSY,B 08/20/20          ,912796XF1,99.6896484375,0.0,823.43664661,"BofA Securities, Inc.",tsy_data_2020_q1.xlsx,,,,,168.4,311.80880525489124,107.04789062500001,16.095381705428483,,0,0,0,0,0,0,0,,1
2020-03-13,Mar 16 2020,Purchase,1000,TSY,TN 02.000 11/15/26  ,912828U24,107.66796875,6703296.8,1083.3829842,Goldman Sachs & Co. LLC,tsy_data_2020_q1.xlsx,,,,,84.3,195.87507454391965,125.223828125,21.845524783634225,,0,1,0,0,1,0,1,"Unusual trading volume, Clustered transactions by multiple entities",1
2020-03-13,Mar 16 2020,Purchase,40,TSY,TB 04.250 11/15/40  ,912810QL5,153.49609375,569780.22,61.96821772,Barclays Capital Inc.,tsy_data_2020_q1.xlsx,,,,,140.23333333333332,216.90291540835406,127.391796875,22.257301977514427,,0,0,0,0,1,0,1,Clustered transactions by multiple entities,1
2020-03-13,Mar 16 2020,Purchase,50,TSY,TB 04.750 02/15/41  ,912810QN1,161.875,195741.76,81.13324176,Goldman Sachs & Co. LLC,tsy_data_2020_q1.xlsx,,,,,141.4,216.29937746016535,128.02513020833334,22.971921116461093,,0,0,0,0,1,0,1,Clustered transactions by multiple entities,1
2020-03-13,Mar 16 2020,Purchase,600,TSY,TN 01.500 09/30/21  ,912828YJ3,101.44140625,4131147.6,612.7795850399999,J.P. Morgan Securities LLC,tsy_data_2020_q1.xlsx,,,,,161.3,230.14660245306595,126.46171875,23.13683884560661,,0,0,0,0,1,0,1,Clustered transactions by multiple entities,1
2020-03-13,Mar 16 2020,Purchase,50,TSY,TB 03.625 08/15/43  ,912810RC4,143.3125,149381.87,71.80563187,NatWest Markets Securities Inc.,tsy_data_2020_q1.xlsx,,,,,161.3,230.14660245306595,127.87643229166666,22.813420392357845,,0,0,0,0,1,0,1,Clustered transactions by multiple entities,1
